geometry,centroid,mugs,cens,club,hood
"POLYGON ((-58.47997011044789 -34.54309437944472, -58.47997011044789 -34.54531628020794, -58.48242480712138 -34.54531628020794, -58.48242480712138 -34.54309437944472, -58.47997011044789 -34.54309437944472))",POINT (-58.48119745878464 -34.54420532982633),8,0,1,SAAVEDRA
"POLYGON ((-58.47751541377441 -34.54309437944472, -58.47751541377441 -34.54531628020794, -58.47997011044789 -34.54531628020794, -58.47997011044789 -34.54309437944472, -58.47751541377441 -34.54309437944472))",POINT (-58.47874276211116 -34.54420532982633),6,0,1,SAAVEDRA
"POLYGON ((-58.47506071710093 -34.54309437944472, -58.47506071710093 -34.54531628020794, -58.47751541377441 -34.54531628020794, -58.47751541377441 -34.54309437944472, -58.47506071710093 -34.54309437944472))",POINT (-58.47628806543767 -34.54420532982633),8,0,1,SAAVEDRA
"POLYGON ((-58.47260602042745 -34.54309437944472, -58.47260602042745 -34.54531628020794, -58.47506071710093 -34.54531628020794, -58.47506071710093 -34.54309437944472, -58.47260602042745 -34.54309437944472))",POINT (-58.47383336876419 -34.54420532982633),2,0,1,SAAVEDRA
"POLYGON ((-58.47015132375397 -34.54309437944472, -58.47015132375397 -34.54531628020794, -58.47260602042745 -34.54531628020794, -58.47260602042745 -34.54309437944472, -58.47015132375397 -34.54309437944472))",POINT (-58.47137867209072 -34.54420532982633),8,0,1,NUÑEZ
"POLYGON ((-58.46769662708049 -34.54309437944472, -58.46769662708049 -34.54531628020794, -58.47015132375397 -34.54531628020794, -58.47015132375397 -34.54309437944472, -58.46769662708049 -34.54309437944472))",POINT (-58.46892397541723 -34.54420532982633),2,0,1,NUÑEZ
"POLYGON ((-58.465241930407 -34.54309437944472, -58.465241930407 -34.54531628020794, -58.46769662708049 -34.54531628020794, -58.46769662708049 -34.54309437944472, -58.465241930407 -34.54309437944472))",POINT (-58.46646927874375 -34.54420532982633),0,1,1,NUÑEZ
"POLYGON ((-58.46278723373352 -34.54309437944472, -58.46278723373352 -34.54531628020794, -58.465241930407 -34.54531628020794, -58.465241930407 -34.54309437944472, -58.46278723373352 -34.54309437944472))",POINT (-58.46401458207026 -34.54420532982633),3,0,1,NUÑEZ
"POLYGON ((-58.46033253706004 -34.54309437944472, -58.46033253706004 -34.54531628020794, -58.46278723373352 -34.54531628020794, -58.46278723373352 -34.54309437944472, -58.46033253706004 -34.54309437944472))",POINT (-58.46155988539678 -34.54420532982633),3,0,0,NUÑEZ
"POLYGON ((-58.45787784038656 -34.54309437944472, -58.45787784038656 -34.54531628020794, -58.46033253706004 -34.54531628020794, -58.46033253706004 -34.54309437944472, -58.45787784038656 -34.54309437944472))",POINT (-58.4591051887233 -34.54420532982633),2,0,0,NUÑEZ
"POLYGON ((-58.45542314371308 -34.54309437944472, -58.45542314371308 -34.54531628020794, -58.45787784038656 -34.54531628020794, -58.45787784038656 -34.54309437944472, -58.45542314371308 -34.54309437944472))",POINT (-58.45665049204981 -34.54420532982633),0,1,0,NUÑEZ
"POLYGON ((-58.45296844703959 -34.54309437944472, -58.45296844703959 -34.54531628020794, -58.45542314371308 -34.54531628020794, -58.45542314371308 -34.54309437944472, -58.45296844703959 -34.54309437944472))",POINT (-58.45419579537634 -34.54420532982633),1,0,1,NUÑEZ
"POLYGON ((-58.45051375036611 -34.54309437944472, -58.45051375036611 -34.54531628020794, -58.45296844703959 -34.54531628020794, -58.45296844703959 -34.54309437944472, -58.45051375036611 -34.54309437944472))",POINT (-58.45174109870285 -34.54420532982633),0,1,1,NUÑEZ
"POLYGON ((-58.44805905369264 -34.54309437944472, -58.44805905369264 -34.54531628020794, -58.45051375036611 -34.54531628020794, -58.45051375036611 -34.54309437944472, -58.44805905369264 -34.54309437944472))",POINT (-58.44928640202937 -34.54420532982634),0,1,0,BELGRANO
"POLYGON ((-58.44560435701916 -34.54309437944472, -58.44560435701916 -34.54531628020794, -58.44805905369264 -34.54531628020794, -58.44805905369264 -34.54309437944472, -58.44560435701916 -34.54309437944472))",POINT (-58.4468317053559 -34.54420532982633),0,1,0,BELGRANO
"POLYGON ((-58.44314966034568 -34.54309437944472, -58.44314966034568 -34.54531628020794, -58.44560435701916 -34.54531628020794, -58.44560435701916 -34.54309437944472, -58.44314966034568 -34.54309437944472))",POINT (-58.44437700868241 -34.54420532982633),0,1,0,BELGRANO
"POLYGON ((-58.44069496367219 -34.54309437944472, -58.44069496367219 -34.54531628020794, -58.44314966034568 -34.54531628020794, -58.44314966034568 -34.54309437944472, -58.44069496367219 -34.54309437944472))",POINT (-58.44192231200893 -34.54420532982633),0,1,0,BELGRANO
