geometry,timestamp,violence
POINT (-58.444 -34.6236),2016-10-29 05:30:00,Robo
POINT (-58.443 -34.6376),2016-10-29 07:45:00,Robo
POINT (-58.4417 -34.6098),2016-10-29 00:30:00,Robo
POINT (-58.4415 -34.6225),2016-10-29 00:10:00,Robo
POINT (-58.4384 -34.6424),2016-10-29 00:30:00,Robo
POINT (-58.4383 -34.6302),2016-10-29 23:00:00,Robo
POINT (-58.4363 -34.6342),2016-10-29 03:00:00,Robo
POINT (-58.4358 -34.5528),2016-10-29 08:00:00,Robo
POINT (-58.4357 -34.554),2016-10-29 05:00:00,Robo
POINT (-58.4317 -34.5876),2016-10-29 23:00:00,Robo
POINT (-58.4302 -34.627),2016-10-29 01:00:00,Robo
POINT (-58.4297 -34.5932),2016-10-29 00:30:00,Robo
POINT (-58.4289 -34.6128),2016-10-29 06:15:00,Robo
POINT (-58.4258 -34.5863),2016-10-29 22:00:00,Robo
POINT (-58.4251 -34.6309),2016-10-29 05:50:00,Robo
POINT (-58.4242 -34.5987),2016-10-29 05:50:00,Robo
POINT (-58.4241 -34.5794),2016-10-29 00:05:00,Robo
POINT (-58.4236 -34.6144),2016-10-29 08:00:00,Robo
POINT (-58.4235 -34.605),2016-10-29 04:00:00,Robo
POINT (-58.4165 -34.6309),2016-10-29 23:35:00,Robo
POINT (-58.4164 -34.6104),2016-10-29 07:30:00,Robo
POINT (-58.4124 -34.6037),2016-10-29 23:15:00,Robo
POINT (-58.4123 -34.6101),2016-10-29 01:30:00,Robo
POINT (-58.4113 -34.5881),2016-10-29 22:00:00,Robo
POINT (-58.4111 -34.5983),2016-10-29 23:00:00,Robo
POINT (-58.4105 -34.6011),2016-10-29 01:00:00,Robo
POINT (-58.4097 -34.6222),2016-10-29 22:00:00,Robo
POINT (-58.4083 -34.6049),2016-10-29 05:55:00,Robo
POINT (-58.4066 -34.6084),2016-10-29 22:00:00,Robo
POINT (-58.4065 -34.6108),2016-10-29 22:00:00,Robo
POINT (-58.40600000000001 -34.6042),2016-10-29 22:00:00,Robo
POINT (-58.4017 -34.5912),2016-10-29 00:20:00,Robo
POINT (-58.4006 -34.6182),2016-10-29 05:00:00,Robo
POINT (-58.4002 -34.6216),2016-10-29 23:00:00,Robo
POINT (-58.3978 -34.5926),2016-10-29 03:20:00,Robo
POINT (-58.3954 -34.6125),2016-10-29 23:15:00,Robo
POINT (-58.3937 -34.5954),2016-10-29 04:15:00,Robo
POINT (-58.3833 -34.6304),2016-10-29 06:20:00,Robo
